intercommunalite.2017_EPCI,Année,CA Réalisé,Freq
200000438,2014,[100.000, 175.000],2
200023778,2014,[100.000, 175.000],5
200055887,2014,[100.000, 175.000],9
200060010,2014,[100.000, 175.000],3
200067346,2014,[100.000, 175.000],6
200067866,2014,[100.000, 175.000],3
200068955,2014,[100.000, 175.000],12
200070233,2014,[100.000, 175.000],9
200071546,2014,[100.000, 175.000],13
200071553,2014,[100.000, 175.000],10
200071678,2014,[100.000, 175.000],4
200071868,2014,[100.000, 175.000],3
200071876,2014,[100.000, 175.000],10
200071900,2014,[100.000, 175.000],6
200071918,2014,[100.000, 175.000],5
200071934,2014,[100.000, 175.000],7
200072676,2014,[100.000, 175.000],2
200072718,2014,[100.000, 175.000],1
200072726,2014,[100.000, 175.000],6
200072734,2014,[100.000, 175.000],5
200072882,2014,[100.000, 175.000],6
200073260,2014,[100.000, 175.000],9
243500741,2014,[100.000, 175.000],2
244400404,2014,[100.000, 175.000],16
244400503,2014,[100.000, 175.000],8
244400552,2014,[100.000, 175.000],4
244400586,2014,[100.000, 175.000],3
244400610,2014,[100.000, 175.000],4
244400644,2014,[100.000, 175.000],9
244900015,2014,[100.000, 175.000],6
244900809,2014,[100.000, 175.000],4
245300223,2014,[100.000, 175.000],10
245300330,2014,[100.000, 175.000],11
245300389,2014,[100.000, 175.000],6
246100663,2014,[100.000, 175.000],0
247200447,2014,[100.000, 175.000],8
247200629,2014,[100.000, 175.000],10
247200686,2014,[100.000, 175.000],9
248500191,2014,[100.000, 175.000],4
248500258,2014,[100.000, 175.000],18
248500340,2014,[100.000, 175.000],7
248500415,2014,[100.000, 175.000],3
248500464,2014,[100.000, 175.000],6
248500530,2014,[100.000, 175.000],1
248500589,2014,[100.000, 175.000],7
248500621,2014,[100.000, 175.000],4
248500662,2014,[100.000, 175.000],2
200000438,2015,[100.000, 175.000],1
200023778,2015,[100.000, 175.000],4
200055887,2015,[100.000, 175.000],12
200060010,2015,[100.000, 175.000],1
200067346,2015,[100.000, 175.000],10
200067866,2015,[100.000, 175.000],5
200068955,2015,[100.000, 175.000],2
200070233,2015,[100.000, 175.000],9
200071546,2015,[100.000, 175.000],16
200071553,2015,[100.000, 175.000],7
200071678,2015,[100.000, 175.000],5
200071868,2015,[100.000, 175.000],3
200071876,2015,[100.000, 175.000],9
200071900,2015,[100.000, 175.000],1
200071918,2015,[100.000, 175.000],3
200071934,2015,[100.000, 175.000],8
200072676,2015,[100.000, 175.000],0
200072718,2015,[100.000, 175.000],3
200072726,2015,[100.000, 175.000],8
200072734,2015,[100.000, 175.000],7
200072882,2015,[100.000, 175.000],5
200073260,2015,[100.000, 175.000],7
243500741,2015,[100.000, 175.000],2
244400404,2015,[100.000, 175.000],16
244400503,2015,[100.000, 175.000],3
244400552,2015,[100.000, 175.000],2
244400586,2015,[100.000, 175.000],2
244400610,2015,[100.000, 175.000],5
244400644,2015,[100.000, 175.000],9
244900015,2015,[100.000, 175.000],9
244900809,2015,[100.000, 175.000],3
245300223,2015,[100.000, 175.000],7
245300330,2015,[100.000, 175.000],11
245300389,2015,[100.000, 175.000],5
246100663,2015,[100.000, 175.000],0
247200447,2015,[100.000, 175.000],3
247200629,2015,[100.000, 175.000],7
