EPCI,Pas de reponse,Tres favorable,Assez favorable,Peu favorable,Tres defavorable,Conjoncture ressentie,Conjoncture reelle
200000438,0,0,5,4,0,5.181,4.028
200023778,0,2,18,2,2,6.101,5.938
200033298,0,0,5,3,0,5.411,4.062
200040475,0,0,4,0,0,6.66,5.938
200042182,0,1,5,0,0,7.218,6.875
200048551,0,0,10,0,1,6.054,5.795
200055887,0,1,7,5,1,5.229,4.702
200060010,0,4,15,0,1,6.995,7.188
200067346,0,1,16,8,1,5.502,4.327
200067635,0,3,16,2,3,5.969,6.18
200067866,0,1,11,4,1,5.682,4.118
200068955,0,0,8,2,0,5.994,5.5
200068963,0,0,3,1,0,5.828,5.938
200070233,0,1,17,3,1,6.051,6.08
200070373,0,2,2,3,0,6.193,5.714
200071165,0,1,13,2,1,6.078,5.147
200071546,0,0,3,6,0,4.439,4.167
200071553,0,2,29,6,3,5.828,5.562
200071629,0,3,16,2,1,6.505,6.193
200071678,0,3,26,3,1,6.461,6.061
200071868,0,1,13,3,1,5.925,4.653
200071876,1,2,27,8,1,5.968,5.171
200071900,0,3,13,0,0,7.288,5.859
200071918,0,0,15,0,2,5.874,6.838
200071934,0,0,8,0,0,6.66,5.625
200072676,0,0,4,1,0,5.994,5.75
200072684,0,0,5,1,1,5.231,4.286
200072692,0,0,3,1,1,4.662,4.5
200072700,0,0,1,1,0,4.995,2.5
200072718,0,0,6,2,0,5.828,4.688
200072726,0,0,3,1,0,5.828,3.75
200072734,0,1,9,1,2,5.635,6.346
200072882,0,1,10,1,0,6.654,5.833
200073112,1,0,3,2,1,4.439,5
200073260,0,5,16,5,3,5.969,5.79
243500741,0,0,8,0,0,6.66,5.469
244400404,5,8,29,16,4,5.726,4.973
244400438,0,1,6,1,0,6.661,4.844
244400503,0,2,11,4,1,5.919,5.556
244400537,0,2,6,4,2,5.24,5.446
244400552,0,2,8,1,0,6.965,6.477
244400586,0,3,7,1,0,7.269,6.477
244400610,2,3,19,1,2,6.395,5.602
244400644,0,0,21,2,3,5.638,6.394
244900015,0,3,30,13,1,5.811,5.346
244900809,0,2,14,2,0,6.661,5.625
244900882,0,0,6,1,1,5.411,5.179
245300223,0,0,2,0,1,4.442,3.333
245300306,0,2,4,0,0,7.772,8.125
245300330,0,0,11,1,2,5.471,6.429
245300355,0,0,3,2,0,5.328,4.75
245300389,0,1,7,1,1,5.995,4.75
245300447,0,2,5,3,0,6.329,4.25
246100663,0,0,0,0,0,NA,NA
247200090,0,0,0,1,0,3.33,3.75
247200132,0,1,2,3,0,5.553,4.167
247200348,0,1,1,1,0,6.657,5
247200421,0,0,4,0,0,6.66,4.688
247200447,0,0,1,2,0,4.439,1.25
247200629,0,0,4,2,0,5.551,4.168
247200686,0,0,5,0,0,6.66,5.25
248500191,1,0,9,3,1,5.378,4.375
248500258,0,1,4,0,1,6.112,3.125
248500340,0,3,15,1,1,6.662,5.896
248500415,0,0,7,3,1,5.145,4.091
248500464,0,1,12,0,3,5.615,5.938
248500563,0,0,5,2,0,5.708,5.179
248500589,1,3,21,7,2,5.852,5.147
248500621,0,4,7,2,1,6.666,6.827
248500662,0,2,9,1,0,6.941,5.938
