intercommunalite.2017_EPCI,X..Date,CDD,CDI,Apprentis,Intérimaires
200000438,2014,1,70,10,2
200023778,2014,8,118,15,7
200055887,2014,4,83,10,1
200060010,2014,4,114,30,5
200067346,2014,5,108,21,7
200067866,2014,5,78,6,1
200068955,2014,4,104,15,7
200070233,2014,7,148,21,5
200071546,2014,7,228,34,8
200071553,2014,9,142,18,3
200071678,2014,10,208,30,2
200071868,2014,8,112,25,1
200071876,2014,14,143,19,5
200071900,2014,11,91,12,1
200071918,2014,4,92,10,3
200071934,2014,50,118,14,2
200072676,2014,2,14,1,0
200072718,2014,8,70,7,0
200072726,2014,25,84,20,6
200072734,2014,13,99,10,5
200072882,2014,5,106,12,3
200073260,2014,15,178,21,1
243500741,2014,5,28,6,0
244400404,2014,38,281,35,11
244400503,2014,4,95,12,2
244400552,2014,3,64,11,3
244400586,2014,8,106,24,2
244400610,2014,15,117,20,3
244400644,2014,18,188,20,4
244900015,2014,19,221,26,10
244900809,2014,2,86,10,0
245300223,2014,18,102,18,2
245300330,2014,6,108,13,0
245300389,2014,3,135,12,0
247200447,2014,6,53,10,0
247200629,2014,1,54,11,2
247200686,2014,9,87,19,1
248500191,2014,20,20,7,2
248500258,2014,14,235,27,7
248500340,2014,17,163,27,3
248500415,2014,2,54,10,7
248500464,2014,3,94,15,3
248500530,2014,1,59,7,0
248500589,2014,14,327,44,7
248500621,2014,11,109,11,2
248500662,2014,5,87,16,6
200000438,2015,5,66,8,1
200023778,2015,4,70,14,6
200055887,2015,6,124,8,3
200060010,2015,4,71,16,1
200067346,2015,5,103,25,10
200067866,2015,2,52,7,6
200068955,2015,8,64,10,4
200070233,2015,5,135,15,3
200071546,2015,16,213,31,4
200071553,2015,21,139,18,6
200071678,2015,9,182,20,3
200071868,2015,6,71,14,5
200071876,2015,6,156,17,9
200071900,2015,2,51,3,0
200071918,2015,1,126,13,5
200071934,2015,10,183,7,2
200072676,2015,1,5,0,0
200072718,2015,2,31,3,0
200072726,2015,12,119,11,1
200072734,2015,1,65,8,1
200072882,2015,4,73,11,0
200073260,2015,9,160,13,7
243500741,2015,1,27,2,0
244400404,2015,9,208,23,8
244400503,2015,6,69,12,1
244400552,2015,3,78,10,5
244400586,2015,3,60,6,3
244400610,2015,21,87,13,2
244400644,2015,18,102,17,0
244900015,2015,31,137,17,1
244900809,2015,2,84,13,0
245300223,2015,5,55,7,1
245300330,2015,6,73,7,4
245300389,2015,5,106,10,1
247200447,2015,3,23,8,1
247200629,2015,3,39,3,1
247200686,2015,11,87,22,3
248500191,2015,22,38,11,0
248500258,2015,6,138,25,5
248500340,2015,11,153,14,42
248500415,2015,1,37,8,2
248500464,2015,2,63,10,2
248500530,2015,2,76,10,0
248500589,2015,18,307,40,10
248500621,2015,2,87,10,1
248500662,2015,4,60,13,1
200000438,2016,5,64,8,0
200023778,2016,3,67,11,2
200055887,2016,6,67,44,3
200060010,2016,1,49,12,6
200067346,2016,7,76,12,0
200067866,2016,1,50,3,3
200068955,2016,14,66,16,3
200070233,2016,4,74,13,3
200071546,2016,14,242,41,13
200071553,2016,10,131,18,0
200071678,2016,9,172,23,6
200071868,2016,2,88,6,0
200071876,2016,2,90,7,4
200071900,2016,0,68,7,2
200071918,2016,10,90,9,6
200071934,2016,8,92,7,3
200072718,2016,5,36,5,1
200072726,2016,14,99,12,4
200072734,2016,0,30,1,0
200072882,2016,4,94,13,6
200073260,2016,6,107,12,1
243500741,2016,3,28,5,0
244400404,2016,14,157,20,8
244400503,2016,5,62,8,7
244400552,2016,0,59,8,1
244400586,2016,3,84,9,0
244400610,2016,2,98,16,3
244400644,2016,6,101,12,4
244900015,2016,5,77,9,4
244900809,2016,2,56,12,0
245300223,2016,10,81,13,2
245300330,2016,4,46,4,7
245300389,2016,10,84,12,1
247200447,2016,0,37,7,4
247200629,2016,1,24,7,1
247200686,2016,11,61,8,1
248500191,2016,5,34,6,0
248500258,2016,10,91,14,2
248500340,2016,4,136,12,3
248500415,2016,3,76,13,2
248500464,2016,4,88,6,4
248500530,2016,5,65,12,3
248500589,2016,8,289,33,4
248500621,2016,2,51,7,4
248500662,2016,0,40,12,2
200000438,2017,5,33,6,0
200023778,2017,11,92,10,7
200055887,2017,5,93,10,4
200060010,2017,4,50,9,0
200067346,2017,15,64,14,5
200067866,2017,2,28,2,2
200068955,2017,4,58,10,1
200070233,2017,11,68,13,0
200071546,2017,10,159,25,6
200071553,2017,4,129,14,3
200071678,2017,8,134,22,7
200071868,2017,4,67,9,0
200071876,2017,10,102,19,6
200071900,2017,2,36,3,0
200071918,2017,10,133,17,10
200071934,2017,14,44,5,3
200072676,2017,2,15,1,0
200072718,2017,2,43,6,6
200072726,2017,11,45,5,5
200072734,2017,2,27,3,0
200072882,2017,1,38,7,3
200073260,2017,18,84,18,2
243500741,2017,1,26,5,0
244400404,2017,7,135,19,7
244400503,2017,1,46,10,3
244400552,2017,6,27,7,1
244400586,2017,4,52,3,0
244400610,2017,10,105,11,4
244400644,2017,6,147,25,13
244900015,2017,24,231,27,21
244900809,2017,1,77,6,2
245300223,2017,5,60,11,2
245300330,2017,0,38,5,1
245300389,2017,10,46,8,1
247200447,2017,0,24,4,7
247200629,2017,1,25,4,1
247200686,2017,2,69,11,1
248500191,2017,2,48,7,0
248500258,2017,5,81,11,0
248500340,2017,4,84,8,3
248500415,2017,0,21,2,0
248500464,2017,5,48,10,4
248500530,2017,4,74,12,2
248500589,2017,9,215,28,12
248500621,2017,10,72,7,4
248500662,2017,2,36,8,1
