,Pas de réponse,Non,Oui
200000438,0,7,2
200023778,2,17,5
200055887,1,20,7
200060010,0,18,2
200067346,2,21,3
200067866,0,17,0
200068955,0,13,5
200070233,1,17,4
200071546,0,32,9
200071553,4,28,8
200071678,1,19,13
200071868,2,10,6
200071876,4,29,6
200071900,0,15,1
200071918,0,12,5
200071934,0,11,4
200072676,0,3,2
200072718,0,9,5
200072726,0,15,3
200072734,1,10,2
200072882,0,9,3
200073260,1,20,8
243500741,0,6,2
244400404,3,52,7
244400503,1,12,5
244400552,0,7,4
244400586,2,7,2
244400610,0,25,2
244400644,1,18,7
244900015,4,33,10
244900809,1,9,8
245300223,1,19,4
245300330,1,8,5
245300389,1,12,8
247200447,2,9,2
247200629,0,16,5
247200686,1,12,11
248500191,0,14,0
248500258,0,24,4
248500340,2,12,6
248500415,2,7,2
248500464,0,11,5
248500530,0,17,0
248500589,4,22,8
248500621,3,9,2
248500662,0,8,4
