EPCI,Pas de reponse_2014,Non_2014,Oui_2014,Nb recrutement envisage_2014,Pas de reponse_2015,Non_2015,Oui_2015,Nb recrutement envisage_2015,Pas de reponse_2016,Non_2016,Oui_2016,Nb recrutement envisage_2016,Pas de reponse_2017,Non_2017,Oui_2017,Nb recrutement envisage_2017
200000438,1,12,2,1,0,9,1,1,0,12,1,1,0,9,0,NA
200023778,2,33,4,1.25,2,24,2,1,2,24,2,1.5,1,20,3,1
200033298,1,13,1,1,0,14,3,1,0,8,0,NA,1,7,0,NA
200040475,0,4,0,NA,0,3,1,1,0,4,0,NA,0,4,0,NA
200042182,0,3,1,1,0,6,1,1,0,3,2,1.5,0,3,3,1.333
200048551,2,17,2,1,3,10,2,1.5,1,12,1,1,0,11,0,NA
200055887,1,12,2,1,2,12,5,1.2,2,10,3,1,1,11,2,1.5
200060010,3,21,1,1,3,16,3,1,1,13,1,1,2,13,5,1.25
200067346,2,34,3,1,1,32,3,1,0,18,4,1.25,3,21,2,1
200067635,2,30,2,1,3,27,2,1,1,19,9,1.111,1,20,3,1
200067866,7,23,1,1,3,13,3,1.333,2,16,3,1,3,10,4,1.25
200068955,2,8,6,1.2,1,10,1,1,1,8,2,1,1,7,2,1
200068963,0,3,1,1,0,2,1,1,0,2,0,NA,0,3,1,2
200070233,4,37,3,1.333,4,31,6,1,3,18,4,1,2,13,7,1.429
200070373,0,10,0,NA,0,7,2,1,0,6,0,NA,0,4,3,1
200071165,1,14,0,NA,1,14,1,1,1,12,4,1.25,2,11,4,1.333
200071546,0,17,2,1,0,12,2,1,0,11,1,1,0,7,2,1
200071553,7,40,4,1,2,39,5,1,2,32,7,1.167,4,26,10,1.3
200071629,6,43,3,1.667,4,24,3,1,1,21,6,1,1,18,3,1
200071678,5,41,1,1,2,33,3,1,3,24,8,1.143,2,23,8,1.333
200071868,4,29,1,3,0,28,3,1,0,19,1,1,2,12,4,2
200071876,3,45,3,1,0,42,6,1,2,32,5,1,5,26,8,1.5
200071900,0,34,0,NA,3,20,1,NA,2,18,2,1,0,11,5,1
200071918,2,16,3,1,1,14,4,1.25,0,11,2,2,1,11,5,1.6
200071934,1,16,0,NA,0,15,3,1.333,2,7,3,1,0,6,2,1
200072676,0,5,0,NA,0,4,0,NA,0,1,0,NA,1,3,1,1
200072684,0,13,0,NA,2,7,0,NA,0,3,3,1,1,6,0,NA
200072692,4,5,1,1,1,5,0,NA,0,4,0,NA,0,4,1,NA
200072700,0,5,2,1.5,1,2,1,1,0,1,1,1,0,2,0,NA
200072718,1,7,1,1,0,4,0,NA,0,9,0,NA,0,7,1,NA
200072726,0,13,0,NA,2,13,0,NA,1,8,2,1,0,3,1,NA
200072734,2,20,5,1.2,1,24,5,1.2,1,11,1,3,3,6,4,1.333
200072882,4,24,1,1,2,23,1,NA,0,20,5,1,1,7,4,1.5
200073112,1,5,3,1,1,5,0,NA,0,8,0,NA,1,4,2,1
200073260,0,46,2,NA,3,33,3,1.333,1,20,6,1,3,21,5,1
243500741,1,9,0,NA,0,9,2,1,0,9,1,1,1,5,2,1
244400404,10,94,2,1,12,65,8,1.167,4,59,10,1.2,3,44,15,1.2
244400438,2,14,3,1.333,1,15,1,2,0,11,7,1.6,1,5,2,1.5
244400503,5,28,1,NA,1,23,1,1,0,14,4,1,0,13,5,1.25
244400537,0,21,2,1,4,22,1,1,3,13,4,1.333,0,12,2,2
244400552,2,25,1,1,1,16,1,1,1,14,1,1,0,9,2,NA
244400586,1,23,4,1,1,14,4,1,1,13,3,1.333,2,7,2,2
244400610,1,23,4,1,0,24,2,1,3,21,3,1,1,20,6,1.333
244400644,3,30,7,1.4,2,32,4,1.333,0,18,10,1,2,12,12,1.455
244900015,4,64,4,1,4,49,10,1.2,1,39,6,1,9,28,10,2.75
244900809,1,20,2,1,2,13,3,1.333,2,13,3,2,2,9,7,1.8
244900882,1,19,3,1.333,1,12,3,1,0,6,4,1,0,3,5,1
245300223,1,8,1,1,0,5,2,1,0,6,0,NA,0,2,1,1
245300306,2,7,0,NA,1,6,1,1,0,5,1,1,0,5,1,1
245300330,8,35,4,1,3,27,3,1.333,2,20,6,1.25,1,7,6,1
245300355,0,8,1,1,1,10,1,1,0,9,0,NA,1,4,0,NA
245300389,2,13,3,1,4,14,1,3,1,14,2,1,1,6,3,1
245300447,1,21,1,1,1,11,0,NA,1,12,1,1,2,6,2,1
246100663,0,0,0,NA,0,0,0,NA,0,1,0,NA,0,0,0,NA
247200090,0,5,0,NA,1,2,0,NA,0,3,0,NA,0,1,0,NA
247200132,1,14,0,NA,0,6,0,NA,0,5,1,1,0,5,1,1
247200348,0,5,0,NA,0,4,2,1,0,1,1,NA,0,2,1,1
247200421,0,6,0,NA,0,5,1,1,0,3,2,1,1,2,1,1
247200447,0,5,1,1,0,4,0,NA,0,2,0,NA,1,2,0,NA
247200629,0,15,1,1,0,9,1,2,1,3,0,NA,1,4,1,1
247200686,0,8,0,NA,0,3,2,1,1,2,1,1,2,2,1,1
248500191,1,10,2,1,1,14,2,1,0,10,1,1,2,7,5,1.2
248500258,2,10,3,1,1,7,3,1,0,8,1,1,0,6,0,NA
248500340,4,34,5,1.2,2,26,3,1.333,2,23,3,1.333,4,6,10,1.125
