CODGEO;LIBGEO;EPCI;LIBEPCI;DEP;REG;NOM_DEPT;NOM_REG,,
53046;Le Buret;245300223;CC du Pays de Meslay-Grez;53;52;MAYENNE;PAYS DE LA LOIRE,,
53053;Champgenéteux;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53090;Denazé;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53096;Ernée;245300355;CC de l'Ernée;53;52;MAYENNE;PAYS DE LA LOIRE,,
53105;Gesnes;200033298;CC des Coëvrons;53;52;MAYENNE;PAYS DE LA LOIRE,,
53133;Lignières-Orgères;200042182;CC du Mont des Avaloirs;53;52;MAYENNE;PAYS DE LA LOIRE,,
53168;Nuillé-sur-Vicoin;245300330;CA de Laval;53;52;MAYENNE;PAYS DE LA LOIRE,,
53199;Saint-Aubin-Fosse-Louvain;245300389;CC du Bocage Mayennais;53;52;MAYENNE;PAYS DE LA LOIRE,,
53231;Saint-Laurent-des-Mortiers;245300447;CC du Pays de Château-Gontier;53;52;MAYENNE;PAYS DE LA LOIRE,,
53250;Saint-Poix;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
53259;Senonnes;200048551;CC du Pays de Craon;53;52;MAYENNE;PAYS DE LA LOIRE,,
44002;Aigrefeuille-sur-Maine;200067635;CA Clisson Sèvre et Maine;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44021;Villeneuve-en-Retz;200071546;CC Sud Retz Atlantique;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44026;Carquefou;244400404;Nantes Métropole;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44045;Cordemais;200072734;CC Estuaire et Sillon;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44075;Issé;200072726;CC Châteaubriant-Derval;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44084;Le Loroux-Bottereau;200067866;CC Sèvre et Loire;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44090;La Marne;200071546;CC Sud Retz Atlantique;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44201;Sucé-sur-Erdre;244400503;CC d'Erdre et Gesvres;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
44205;Les Touches;244400503;CC d'Erdre et Gesvres;44;52;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE,,
49065;Les Hauts d'Anjou;200071868;CC des Vallées du Haut-Anjou;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49090;Cheffes;200068955;CC Anjou Loir et Sarthe;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49109;Coron;200071678;CA du Choletais;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49201;La Ménitré;244900882;CC Baugeois Vallée;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
49353;Trélazé;244900015;CU Angers Loire Métropole;49;52;MAINE-ET-LOIRE;PAYS DE LA LOIRE,,
72006;Arçonnay;246100663;CU d'Alençon;72;52;SARTHE;PAYS DE LA LOIRE,,
72059;Chantenay-Villedieu;200040475;CC Loué - Brûlon - Noyen;72;52;SARTHE;PAYS DE LA LOIRE,,
72074;Chemiré-en-Charnie;200040475;CC Loué - Brûlon - Noyen;72;52;SARTHE;PAYS DE LA LOIRE,,
72104;Courgains;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
72133;Fillé;247200629;CC du Val de Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72145;Le Grez;200072718;CC de la Champagne Conlinoise et du Pays de Sillé;72;52;SARTHE;PAYS DE LA LOIRE,,
72178;Maisoncelles;200072684;CC Le Gesnois Bilurien;72;52;SARTHE;PAYS DE LA LOIRE,,
72225;Oisseau-le-Petit;200072700;CC Haute Sarthe Alpes Mancelles;72;52;SARTHE;PAYS DE LA LOIRE,,
72234;Pezé-le-Robert;200072718;CC de la Champagne Conlinoise et du Pays de Sillé;72;52;SARTHE;PAYS DE LA LOIRE,,
72244;Précigné;247200090;CC de Sablé-sur-Sarthe;72;52;SARTHE;PAYS DE LA LOIRE,,
72265;Saint-Aignan;200072676;CC Maine Saosnois;72;52;SARTHE;PAYS DE LA LOIRE,,
