intercommunalite.2017_EPCI,X..Date,CDD,CDI,Apprentis,Intérimaires
200000438,2014,1,70,10,2
200023778,2014,8,118,15,7
200055887,2014,4,83,10,1
200060010,2014,4,105,30,2
200067346,2014,5,108,21,7
200067866,2014,5,78,6,1
200068955,2014,3,94,13,5
200070233,2014,7,148,21,5
200071546,2014,7,223,34,8
200071553,2014,9,142,18,3
200071678,2014,9,196,28,2
200071868,2014,8,112,25,1
200071876,2014,14,136,17,4
200071900,2014,11,91,12,1
200071918,2014,4,92,10,3
200071934,2014,50,118,14,2
200072676,2014,2,14,1,0
200072718,2014,8,70,7,0
200072726,2014,25,84,20,6
200072734,2014,13,96,8,5
200072882,2014,4,99,12,1
200073260,2014,15,178,21,1
243500741,2014,5,28,6,0
244400404,2014,30,274,34,10
244400503,2014,4,91,12,2
244400552,2014,3,64,11,3
244400586,2014,8,106,24,2
244400610,2014,15,117,20,3
244400644,2014,18,188,20,4
244900015,2014,19,214,25,10
244900809,2014,2,86,10,0
245300223,2014,18,102,18,2
245300330,2014,6,107,13,0
245300389,2014,3,134,12,0
247200447,2014,6,44,9,0
247200629,2014,1,54,11,2
247200686,2014,9,87,19,1
248500191,2014,20,20,7,2
248500258,2014,14,235,27,7
248500340,2014,17,162,26,3
248500415,2014,2,54,10,7
248500464,2014,3,94,15,3
248500530,2014,1,59,7,0
248500589,2014,13,302,39,7
248500621,2014,11,109,11,2
248500662,2014,5,79,15,6
200000438,2015,5,66,8,1
200023778,2015,4,70,14,6
200055887,2015,6,123,8,3
200060010,2015,4,71,16,1
200067346,2015,5,102,25,10
200067866,2015,2,52,7,6
200068955,2015,8,64,10,4
200070233,2015,5,135,15,3
200071546,2015,16,213,31,4
200071553,2015,21,139,18,6
200071678,2015,9,182,20,3
200071868,2015,6,66,12,5
200071876,2015,6,156,17,9
200071900,2015,2,46,3,0
200071918,2015,1,109,11,5
200071934,2015,10,183,7,2
200072676,2015,1,5,0,0
200072718,2015,2,31,3,0
200072726,2015,12,119,11,1
200072734,2015,1,61,7,1
200072882,2015,4,73,11,0
200073260,2015,9,160,13,7
243500741,2015,1,27,2,0
244400404,2015,9,203,22,8
244400503,2015,5,65,12,1
244400552,2015,3,78,10,5
244400586,2015,3,60,6,3
244400610,2015,21,87,13,2
244400644,2015,18,102,17,0
244900015,2015,28,137,16,1
244900809,2015,2,84,13,0
245300223,2015,5,55,7,1
245300330,2015,6,73,7,4
245300389,2015,5,106,10,1
247200447,2015,3,16,6,1
247200629,2015,3,27,2,1
247200686,2015,11,87,22,3
248500191,2015,22,38,11,0
248500258,2015,6,128,23,5
248500340,2015,11,153,14,42
248500415,2015,1,37,8,2
248500464,2015,2,63,10,2
248500530,2015,2,76,10,0
248500589,2015,18,303,39,10
248500621,2015,2,87,10,1
248500662,2015,0,52,11,0
200000438,2016,5,64,8,0
200023778,2016,3,67,11,2
200055887,2016,6,67,44,3
200060010,2016,1,39,10,0
200067346,2016,7,74,12,0
200067866,2016,1,40,3,3
200068955,2016,14,57,14,3
200070233,2016,4,74,13,3
200071546,2016,14,226,41,13
200071553,2016,10,131,18,0
200071678,2016,8,162,23,6
200071868,2016,2,88,6,0
200071876,2016,2,82,6,3
200071900,2016,0,62,6,2
200071918,2016,10,90,9,6
200071934,2016,8,92,7,3
200072718,2016,5,36,5,1
200072726,2016,14,91,12,4
200072734,2016,0,26,1,0
200072882,2016,4,94,13,6
200073260,2016,6,107,12,1
243500741,2016,3,28,5,0
244400404,2016,14,156,20,7
244400503,2016,5,57,7,7
244400552,2016,0,59,8,1
244400586,2016,3,84,9,0
244400610,2016,2,98,16,3
244400644,2016,6,100,12,4
244900015,2016,5,75,8,4
244900809,2016,2,56,12,0
245300223,2016,10,81,13,2
245300330,2016,4,44,4,7
245300389,2016,10,84,12,1
247200447,2016,0,28,6,1
247200629,2016,1,24,7,1
247200686,2016,11,61,8,1
248500191,2016,5,34,6,0
248500258,2016,10,83,14,2
248500340,2016,4,136,12,3
248500415,2016,3,76,13,2
248500464,2016,4,88,6,4
248500530,2016,5,65,12,3
248500589,2016,8,286,31,4
248500621,2016,2,51,7,4
248500662,2016,0,40,11,0
200000438,2017,5,33,6,0
200023778,2017,11,89,10,7
200055887,2017,5,93,10,4
200060010,2017,4,50,9,0
200067346,2017,15,64,14,5
200067866,2017,2,28,2,2
200068955,2017,4,49,9,1
200070233,2017,11,67,12,0
200071546,2017,10,140,25,4
200071553,2017,4,129,14,3
200071678,2017,8,123,21,7
200071868,2017,4,67,9,0
200071876,2017,10,102,19,6
200071900,2017,2,34,2,0
200071918,2017,10,133,17,10
200071934,2017,14,27,4,0
200072676,2017,2,15,1,0
200072718,2017,1,38,4,6
200072726,2017,11,45,5,5
200072734,2017,0,20,0,0
200072882,2017,1,36,6,3
200073260,2017,18,84,17,2
243500741,2017,1,26,5,0
244400404,2017,6,129,19,7
244400503,2017,1,41,10,3
244400552,2017,6,27,7,1
244400586,2017,4,52,3,0
244400610,2017,10,104,9,3
244400644,2017,6,143,23,12
244900015,2017,23,229,27,21
244900809,2017,1,68,5,1
245300223,2017,5,60,10,2
245300330,2017,0,36,5,1
245300389,2017,9,43,8,1
247200447,2017,0,11,2,4
247200629,2017,1,25,4,1
247200686,2017,2,64,11,1
248500191,2017,2,46,7,0
248500258,2017,4,54,8,0
248500340,2017,1,44,5,1
248500415,2017,0,18,2,0
248500464,2017,5,35,9,4
248500530,2017,4,72,12,2
248500589,2017,9,211,26,12
248500621,2017,10,72,7,4
248500662,2017,2,25,6,1
