epci,Difficultés.MP,Freq
200071934,Délais de réalisation des travaux trop court,0.0576923076923077
200071934,Délais de règlement trop longs,0.153846153846154
200071934,Délais de réponse trop courts,0.0384615384615385
200071934,Erreurs; incohérences ou non-respect du cahier des charges,0.115384615384615
200071934,Lourdeur administrative,0.192307692307692
200071934,Mémoire technique trop lourd,0.153846153846154
200071934,Prix trop bas,0.153846153846154
200071934,Trop de concurrence,0.134615384615385
200072882,Délais de réalisation des travaux trop court,0.0714285714285714
200072882,Délais de règlement trop longs,0.142857142857143
200072882,Délais de réponse trop courts,0.0714285714285714
200072882,Erreurs; incohérences ou non-respect du cahier des charges,0.119047619047619
200072882,Lourdeur administrative,0.166666666666667
200072882,Mémoire technique trop lourd,0.0714285714285714
200072882,Pas assez d'appel d'offre,0.0238095238095238
200072882,Prix trop bas,0.261904761904762
200072882,Trop de concurrence,0.0714285714285714
200070233,Délais de réalisation des travaux trop court,0.0689655172413793
200070233,Délais de règlement trop longs,0.0517241379310345
200070233,Délais de réponse trop courts,0.0689655172413793
200070233,Erreurs; incohérences ou non-respect du cahier des charges,0.0862068965517241
200070233,Lourdeur administrative,0.155172413793103
200070233,Manque de dialogue et coordination,0.0862068965517241
200070233,Mémoire technique trop lourd,0.103448275862069
200070233,Pas assez d'appel d'offre,0.0172413793103448
200070233,Prix trop bas,0.224137931034483
200070233,Trop de concurrence,0.137931034482759
248500258,Délais de règlement trop longs,0.0754716981132075
248500258,Délais de réponse trop courts,0.0943396226415094
248500258,Erreurs; incohérences ou non-respect du cahier des charges,0.113207547169811
248500258,Lourdeur administrative,0.30188679245283
248500258,Mémoire technique trop lourd,0.150943396226415
248500258,Prix trop bas,0.245283018867925
248500258,Trop de concurrence,0.0188679245283019
248500191,Délais de réponse trop courts,0.25
248500191,Lourdeur administrative,0.5
248500191,Prix trop bas,0.25
248500662,Délais de réalisation des travaux trop court,0.0384615384615385
248500662,Délais de règlement trop longs,0.0769230769230769
248500662,Délais de réponse trop courts,0.0769230769230769
248500662,Erreurs; incohérences ou non-respect du cahier des charges,0.0384615384615385
248500662,Lourdeur administrative,0.192307692307692
248500662,Mémoire technique trop lourd,0.115384615384615
248500662,Prix trop bas,0.307692307692308
248500662,Trop de concurrence,0.153846153846154
248500464,Délais de réalisation des travaux trop court,0.0144927536231884
248500464,Délais de règlement trop longs,0.0579710144927536
248500464,Délais de réponse trop courts,0.0869565217391304
248500464,Erreurs; incohérences ou non-respect du cahier des charges,0.0289855072463768
248500464,Lourdeur administrative,0.246376811594203
248500464,Manque de dialogue et coordination,0.0144927536231884
248500464,Mémoire technique trop lourd,0.159420289855072
248500464,Prix trop bas,0.260869565217391
248500464,Trop de concurrence,0.130434782608696
200073260,Autre,0.0158730158730159
200073260,Délais de réalisation des travaux trop court,0.0476190476190476
200073260,Délais de règlement trop longs,0.142857142857143
200073260,Délais de réponse trop courts,0.0476190476190476
200073260,Erreurs; incohérences ou non-respect du cahier des charges,0.0476190476190476
200073260,Lourdeur administrative,0.206349206349206
200073260,Manque de dialogue et coordination,0.0158730158730159
200073260,Mémoire technique trop lourd,0.0793650793650794
200073260,Planning de réalisation des travaux trop long ou éloigné,0.0317460317460317
200073260,Prix trop bas,0.26984126984127
200073260,Trop de concurrence,0.0952380952380952
248500340,Autre,0.0256410256410256
248500340,Délais de réalisation des travaux trop court,0.0384615384615385
248500340,Délais de règlement trop longs,0.0512820512820513
248500340,Erreurs; incohérences ou non-respect du cahier des charges,0.0384615384615385
248500340,Lourdeur administrative,0.166666666666667
248500340,Manque de dialogue et coordination,0.0512820512820513
248500340,Mémoire technique trop lourd,0.115384615384615
248500340,Pas assez d'appel d'offre,0.0128205128205128
248500340,Planning de réalisation des travaux trop long ou éloigné,0.0769230769230769
248500340,Prix trop bas,0.294871794871795
248500340,Trop de concurrence,0.128205128205128
200023778,Autre,0.0256410256410256
200023778,Délais de règlement trop longs,0.0769230769230769
200023778,Erreurs; incohérences ou non-respect du cahier des charges,0.0256410256410256
200023778,Lourdeur administrative,0.333333333333333
200023778,Mémoire technique trop lourd,0.0769230769230769
200023778,Pas assez d'appel d'offre,0.0256410256410256
200023778,Planning de réalisation des travaux trop long ou éloigné,0.0256410256410256
200023778,Prix trop bas,0.307692307692308
200023778,Trop de concurrence,0.102564102564103
200071546,Autre,0.00649350649350649
200071546,Délais de réalisation des travaux trop court,0.025974025974026
200071546,Délais de règlement trop longs,0.149350649350649
200071546,Délais de réponse trop courts,0.0584415584415584
200071546,Erreurs; incohérences ou non-respect du cahier des charges,0.0779220779220779
200071546,Lourdeur administrative,0.181818181818182
200071546,Manque de dialogue et coordination,0.00649350649350649
200071546,Mémoire technique trop lourd,0.103896103896104
200071546,Pas assez d'appel d'offre,0.012987012987013
200071546,Planning de réalisation des travaux trop long ou éloigné,0.025974025974026
200071546,Prix trop bas,0.214285714285714
200071546,Trop de concurrence,0.136363636363636
248500530,Délais de réalisation des travaux trop court,0.125
248500530,Délais de règlement trop longs,0.0625
248500530,Délais de réponse trop courts,0.0625
248500530,Lourdeur administrative,0.1875
248500530,Mémoire technique trop lourd,0.125
248500530,Prix trop bas,0.25
248500530,Trop de concurrence,0.1875
200071918,Délais de réalisation des travaux trop court,0.0638297872340425
200071918,Délais de réponse trop courts,0.0425531914893617
200071918,Erreurs; incohérences ou non-respect du cahier des charges,0.106382978723404
200071918,Lourdeur administrative,0.0851063829787234
200071918,Manque de dialogue et coordination,0.0212765957446809
200071918,Mémoire technique trop lourd,0.0851063829787234
200071918,Pas assez d'appel d'offre,0.0212765957446809
200071918,Prix trop bas,0.340425531914894
200071918,Trop de concurrence,0.234042553191489
248500589,Délais de réalisation des travaux trop court,0.0367647058823529
248500589,Délais de règlement trop longs,0.0514705882352941
248500589,Délais de réponse trop courts,0.0661764705882353
248500589,Erreurs; incohérences ou non-respect du cahier des charges,0.0441176470588235
248500589,Lourdeur administrative,0.198529411764706
248500589,Manque de dialogue et coordination,0.00735294117647059
248500589,Mémoire technique trop lourd,0.147058823529412
248500589,Pas assez d'appel d'offre,0.0367647058823529
248500589,Planning de réalisation des travaux trop long ou éloigné,0.0147058823529412
248500589,Prix trop bas,0.257352941176471
248500589,Trop de concurrence,0.139705882352941
248500415,Délais de réalisation des travaux trop court,0.0555555555555556
248500415,Délais de règlement trop longs,0.0555555555555556
248500415,Délais de réponse trop courts,0.166666666666667
248500415,Erreurs; incohérences ou non-respect du cahier des charges,0.0555555555555556
248500415,Lourdeur administrative,0.166666666666667
248500415,Mémoire technique trop lourd,0.111111111111111
248500415,Prix trop bas,0.277777777777778
248500415,Trop de concurrence,0.111111111111111
200071900,Délais de réalisation des travaux trop court,0.0740740740740741
200071900,Délais de règlement trop longs,0.185185185185185
200071900,Délais de réponse trop courts,0.0740740740740741
200071900,Lourdeur administrative,0.222222222222222
200071900,Mémoire technique trop lourd,0.037037037037037
200071900,Pas assez d'appel d'offre,0.037037037037037
200071900,Prix trop bas,0.259259259259259
200071900,Trop de concurrence,0.111111111111111
248500621,Délais de réalisation des travaux trop court,0.0188679245283019
248500621,Délais de règlement trop longs,0.0566037735849057
248500621,Délais de réponse trop courts,0.0377358490566038
248500621,Erreurs; incohérences ou non-respect du cahier des charges,0.0377358490566038
248500621,Lourdeur administrative,0.264150943396226
248500621,Manque de dialogue et coordination,0.0566037735849057
248500621,Mémoire technique trop lourd,0.132075471698113
248500621,Planning de réalisation des travaux trop long ou éloigné,0.0188679245283019
248500621,Prix trop bas,0.226415094339623
248500621,Trop de concurrence,0.150943396226415
200060010,Autre,0.024390243902439
200060010,Délais de règlement trop longs,0.0487804878048781
200060010,Délais de réponse trop courts,0.024390243902439
200060010,Erreurs; incohérences ou non-respect du cahier des charges,0.0487804878048781
200060010,Lourdeur administrative,0.146341463414634
200060010,Manque de dialogue et coordination,0.024390243902439
200060010,Mémoire technique trop lourd,0.121951219512195
200060010,Pas assez d'appel d'offre,0.0487804878048781
200060010,Planning de réalisation des travaux trop long ou éloigné,0.024390243902439
200060010,Prix trop bas,0.292682926829268
200060010,Trop de concurrence,0.195121951219512
200068955,Délais de réalisation des travaux trop court,0.0208333333333333
200068955,Délais de règlement trop longs,0.0416666666666667
200068955,Délais de réponse trop courts,0.0625
200068955,Erreurs; incohérences ou non-respect du cahier des charges,0.0416666666666667
200068955,Lourdeur administrative,0.1875
200068955,Manque de dialogue et coordination,0.0208333333333333
200068955,Mémoire technique trop lourd,0.145833333333333
200068955,Pas assez d'appel d'offre,0.0625
200068955,Prix trop bas,0.25
200068955,Trop de concurrence,0.166666666666667
200071868,Délais de réalisation des travaux trop court,0.0493827160493827
200071868,Délais de règlement trop longs,0.0740740740740741
200071868,Délais de réponse trop courts,0.0987654320987654
200071868,Erreurs; incohérences ou non-respect du cahier des charges,0.0617283950617284
200071868,Lourdeur administrative,0.160493827160494
200071868,Mémoire technique trop lourd,0.0617283950617284
200071868,Pas assez d'appel d'offre,0.0246913580246914
200071868,Planning de réalisation des travaux trop long ou éloigné,0.0123456790123457
200071868,Prix trop bas,0.283950617283951
200071868,Trop de concurrence,0.172839506172839
200071553,Délais de réalisation des travaux trop court,0.0388349514563107
200071553,Délais de règlement trop longs,0.106796116504854
200071553,Délais de réponse trop courts,0.0679611650485437
200071553,Erreurs; incohérences ou non-respect du cahier des charges,0.00970873786407767
200071553,Lourdeur administrative,0.213592233009709
200071553,Manque de dialogue et coordination,0.0388349514563107
200071553,Mémoire technique trop lourd,0.0776699029126214
200071553,Pas assez d'appel d'offre,0.0388349514563107
200071553,Prix trop bas,0.262135922330097
200071553,Trop de concurrence,0.145631067961165
200071876,Délais de réalisation des travaux trop court,0.04
200071876,Délais de règlement trop longs,0.11
