EPCI,CA_A la baisse,CA_Stable,CA_A la hausse,Marge_A la baisse,Marge_Stable,Marge_A la hausse,Trésorerie_A la baisse,Trésorerie_Stable,Trésorerie_A la hausse,CarnetDeCommandes_A la baisse,CarnetDeCommandes_Stable,CarnetDeCommandes_A la hausse
200000438,0.5,0.25,0.25,0.375,0.625,0,0.5,0.25,0.25,0.222,0.556,0.222
200023778,0.182,0.318,0.5,0.273,0.545,0.182,0.136,0.5,0.364,0.136,0.409,0.455
200055887,0.238,0.429,0.333,0.286,0.619,0.095,0.3,0.55,0.15,0.182,0.5,0.318
200060010,0,0.3,0.7,0.1,0.7,0.2,0.05,0.6,0.35,0,0.35,0.65
200067346,0.28,0.52,0.2,0.4,0.52,0.08,0.32,0.56,0.12,0.12,0.64,0.24
200067866,0.286,0.5,0.214,0.357,0.571,0.071,0.357,0.571,0.071,0.25,0.625,0.125
200068955,0.214,0.429,0.357,0.286,0.5,0.214,0.286,0.643,0.071,0.143,0.571,0.286
200070233,0.105,0.526,0.368,0.105,0.632,0.263,0.105,0.684,0.211,0.05,0.5,0.45
200071546,0.216,0.378,0.405,0.143,0.657,0.2,0.351,0.514,0.135,0.108,0.324,0.568
200071553,0.242,0.424,0.333,0.152,0.697,0.152,0.303,0.515,0.182,0.182,0.333,0.485
200071678,0.192,0.423,0.385,0.192,0.654,0.154,0.16,0.68,0.16,0.115,0.462,0.423
200071868,0.154,0.538,0.308,0.308,0.615,0.077,0.538,0.385,0.077,0.077,0.769,0.154
200071876,0.258,0.516,0.226,0.29,0.548,0.161,0.312,0.594,0.094,0.094,0.625,0.281
200071900,0.167,0.417,0.417,0.25,0.667,0.083,0.25,0.417,0.333,0,0.583,0.417
200071918,0.083,0.5,0.417,0,0.75,0.25,0.083,0.5,0.417,0.077,0.385,0.538
200071934,0,0.583,0.417,0.417,0.5,0.083,0.333,0.583,0.083,0,0.583,0.417
200072676,0,0.75,0.25,0,1,0,0,0.75,0.25,0,0.25,0.75
200072718,0.091,0.545,0.364,0.364,0.455,0.182,0.364,0.455,0.182,0.273,0.364,0.364
200072726,0.333,0.4,0.267,0.2,0.467,0.333,0.333,0.533,0.133,0.286,0.357,0.357
200072734,0.167,0.333,0.5,0.25,0.417,0.333,0.083,0.5,0.417,0.083,0.333,0.583
200072882,0.083,0.5,0.417,0.083,0.917,0,0.25,0.583,0.167,0,0.5,0.5
200073260,0.238,0.429,0.333,0.238,0.619,0.143,0.15,0.65,0.2,0.143,0.476,0.381
243500741,0.125,0.375,0.5,0.25,0.75,0,0.25,0.625,0.125,0,0.625,0.375
244400404,0.275,0.373,0.353,0.353,0.471,0.176,0.347,0.408,0.245,0.212,0.385,0.404
244400503,0.235,0.294,0.471,0.294,0.588,0.118,0.235,0.647,0.118,0.188,0.312,0.5
244400552,0,0.545,0.455,0.091,0.727,0.182,0.091,0.636,0.273,0,0.545,0.455
244400586,0,0.444,0.556,0.222,0.444,0.333,0.222,0.444,0.333,0.1,0.5,0.4
244400610,0.2,0.36,0.44,0.4,0.48,0.12,0.24,0.56,0.2,0.154,0.346,0.5
244400644,0.083,0.5,0.417,0.125,0.667,0.208,0.083,0.667,0.25,0.042,0.292,0.667
244900015,0.229,0.314,0.457,0.229,0.629,0.143,0.257,0.571,0.171,0.111,0.417,0.472
244900809,0.222,0.389,0.389,0.222,0.444,0.333,0.333,0.5,0.167,0.056,0.5,0.444
245300223,0.174,0.565,0.261,0.391,0.478,0.13,0.391,0.522,0.087,0.087,0.652,0.261
245300330,0.091,0.455,0.455,0.1,0.6,0.3,0.1,0.6,0.3,0.091,0.364,0.545
245300389,0.111,0.611,0.278,0.389,0.556,0.056,0.278,0.611,0.111,0,0.5,0.5
246100663,0,0,0,0,0,0,0,0,0,0,0,0
247200447,0.7,0,0.3,0.4,0.5,0.1,0.5,0.3,0.2,0.5,0.2,0.3
247200629,0.111,0.556,0.333,0.25,0.75,0,0.3,0.55,0.15,0.15,0.55,0.3
247200686,0.217,0.478,0.304,0.217,0.609,0.174,0.217,0.652,0.13,0.208,0.583,0.208
248500191,0.417,0.417,0.167,0.167,0.75,0.083,0.333,0.667,0,0.167,0.833,0
248500258,0.192,0.5,0.308,0.308,0.577,0.115,0.346,0.385,0.269,0.038,0.462,0.5
248500340,0,0.667,0.333,0.267,0.733,0,0.2,0.6,0.2,0,0.533,0.467
248500415,0.125,0.625,0.25,0.429,0.571,0,0.571,0.429,0,0.111,0.667,0.222
248500464,0.133,0.4,0.467,0.2,0.733,0.067,0.333,0.6,0.067,0,0.267,0.733
248500530,0.286,0.5,0.214,0.357,0.5,0.143,0.357,0.429,0.214,0.133,0.467,0.4
248500589,0.2,0.467,0.333,0.2,0.633,0.167,0.367,0.5,0.133,0.1,0.5,0.4
248500621,0.083,0.083,0.833,0.083,0.833,0.083,0.25,0.583,0.167,0,0.417,0.583
248500662,0.375,0.25,0.375,0.25,0.75,0,0.5,0.375,0.125,0,0.625,0.375
