EPCI,Oui,Non
200000438,0.222,0.778
200023778,0.2,0.8
200055887,0.19,0.81
200060010,0.1,0.9
200067346,0.13,0.87
200067866,0,1
200068955,0.267,0.733
200070233,0.211,0.789
200071546,0.216,0.784
200071553,0.233,0.767
200071678,0.36,0.64
200071868,0.5,0.5
200071876,0.194,0.806
200071900,0.083,0.917
200071918,0.308,0.692
200071934,0.167,0.833
200072676,0.5,0.5
200072718,0.455,0.545
200072726,0.2,0.8
200072734,0.182,0.818
200072882,0.25,0.75
200073260,0.2,0.8
243500741,0.25,0.75
244400404,0.082,0.918
244400503,0.312,0.688
244400552,0.364,0.636
244400586,0.222,0.778
244400610,0.077,0.923
244400644,0.217,0.783
244900015,0.25,0.75
244900809,0.471,0.529
245300223,0.182,0.818
245300330,0.333,0.667
245300389,0.421,0.579
246100663,NA,NA
247200447,0.111,0.889
247200629,0.238,0.762
247200686,0.478,0.522
248500191,0,1
248500258,0.115,0.885
248500340,0.286,0.714
248500415,0.125,0.875
248500464,0.267,0.733
248500530,0,1
248500589,0.269,0.731
248500621,0.2,0.8
248500662,0.125,0.875
