V1,V2,V3
200071934,plomberie-chauffage-couverture&A la hausse&CDD,0
200071934,plomberie-chauffage-couverture&A la hausse&CDI,14.6666666666667
200071934,plomberie-chauffage-couverture&A la hausse&Apprentis,1
200071934,plomberie-chauffage-couverture&A la hausse&Intérimaires,1
200071934,plomberie-chauffage-couverture&Stable&CDD,1
200071934,plomberie-chauffage-couverture&Stable&CDI,2.77777777777778
200071934,plomberie-chauffage-couverture&Stable&Apprentis,1
200071934,plomberie-chauffage-couverture&Stable&Intérimaires,0
200071934,menuiserie-charpente&A la hausse&CDD,1
200071934,menuiserie-charpente&A la hausse&CDI,4.71428571428571
200071934,menuiserie-charpente&A la hausse&Apprentis,1
200071934,menuiserie-charpente&A la hausse&Intérimaires,0
200071934,menuiserie-charpente&Stable&CDD,1.5
200071934,menuiserie-charpente&Stable&CDI,5.22222222222222
200071934,menuiserie-charpente&Stable&Apprentis,1
200071934,menuiserie-charpente&Stable&Intérimaires,2
200071934,maçonnerie-carrelage&A la hausse&CDD,7.5
200071934,maçonnerie-carrelage&A la hausse&CDI,2.33333333333333
200071934,maçonnerie-carrelage&A la hausse&Apprentis,1
200071934,maçonnerie-carrelage&A la hausse&Intérimaires,1
200071934,maçonnerie-carrelage&Stable&CDD,1
200071934,maçonnerie-carrelage&Stable&CDI,7.16666666666667
200071934,maçonnerie-carrelage&Stable&Apprentis,1
200071934,maçonnerie-carrelage&Stable&Intérimaires,0
200071934,Peinture&A la hausse&CDD,2
200071934,Peinture&A la hausse&CDI,5
200071934,Peinture&A la hausse&Apprentis,0
200071934,Peinture&A la hausse&Intérimaires,0
200071934,Peinture&Stable&CDD,0
200071934,Peinture&Stable&CDI,6
200071934,Peinture&Stable&Apprentis,1
200071934,Peinture&Stable&Intérimaires,0
200071934,Electricité&A la hausse&CDD,0
200071934,Electricité&A la hausse&CDI,2.33333333333333
200071934,Electricité&A la hausse&Apprentis,3
200071934,Electricité&A la hausse&Intérimaires,0
200071934,Electricité&Stable&CDD,1.33333333333333
200071934,Electricité&Stable&CDI,8.22222222222222
200071934,Electricité&Stable&Apprentis,2.4
200071934,Electricité&Stable&Intérimaires,1
200071934,plâtrerie-isolation&Stable&CDD,0
200071934,plâtrerie-isolation&Stable&CDI,1
200071934,plâtrerie-isolation&Stable&Apprentis,0
200071934,plâtrerie-isolation&Stable&Intérimaires,0
200072882,plomberie-chauffage-couverture&A la hausse&CDD,0
200072882,plomberie-chauffage-couverture&A la hausse&CDI,0
200072882,plomberie-chauffage-couverture&A la hausse&Apprentis,0
200072882,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
200072882,plomberie-chauffage-couverture&Stable&CDD,1
200072882,plomberie-chauffage-couverture&Stable&CDI,2.5
200072882,plomberie-chauffage-couverture&Stable&Apprentis,1.16666666666667
200072882,plomberie-chauffage-couverture&Stable&Intérimaires,0
200072882,menuiserie-charpente&A la hausse&CDD,1
200072882,menuiserie-charpente&A la hausse&CDI,7.5
200072882,menuiserie-charpente&A la hausse&Apprentis,1.5
200072882,menuiserie-charpente&A la hausse&Intérimaires,0
200072882,menuiserie-charpente&Stable&CDD,1
200072882,menuiserie-charpente&Stable&CDI,13.7142857142857
200072882,menuiserie-charpente&Stable&Apprentis,1.75
200072882,menuiserie-charpente&Stable&Intérimaires,4
200072882,maçonnerie-carrelage&A la hausse&CDD,1
200072882,maçonnerie-carrelage&A la hausse&CDI,3.5
200072882,maçonnerie-carrelage&A la hausse&Apprentis,1.2
200072882,maçonnerie-carrelage&A la hausse&Intérimaires,0
200072882,maçonnerie-carrelage&Stable&CDD,0
200072882,maçonnerie-carrelage&Stable&CDI,2.66666666666667
200072882,maçonnerie-carrelage&Stable&Apprentis,1.33333333333333
200072882,maçonnerie-carrelage&Stable&Intérimaires,0
200072882,Peinture&A la hausse&CDD,0
200072882,Peinture&A la hausse&CDI,3
200072882,Peinture&A la hausse&Apprentis,2
200072882,Peinture&A la hausse&Intérimaires,0
200072882,Peinture&Stable&CDD,1
200072882,Peinture&Stable&CDI,1
200072882,Peinture&Stable&Apprentis,0
200072882,Peinture&Stable&Intérimaires,0
200072882,Electricité&A la hausse&CDD,1
200072882,Electricité&A la hausse&CDI,2.66666666666667
200072882,Electricité&A la hausse&Apprentis,1
200072882,Electricité&A la hausse&Intérimaires,2.5
200072882,Electricité&Stable&CDD,1
200072882,Electricité&Stable&CDI,3.75
200072882,Electricité&Stable&Apprentis,1
200072882,Electricité&Stable&Intérimaires,1
200072882,plâtrerie-isolation&Stable&CDD,0
200072882,plâtrerie-isolation&Stable&CDI,3
200072882,plâtrerie-isolation&Stable&Apprentis,1
200072882,plâtrerie-isolation&Stable&Intérimaires,0
200070233,plomberie-chauffage-couverture&A la hausse&CDD,1
200070233,plomberie-chauffage-couverture&A la hausse&CDI,2
200070233,plomberie-chauffage-couverture&A la hausse&Apprentis,0
200070233,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
200070233,plomberie-chauffage-couverture&Stable&CDD,1
200070233,plomberie-chauffage-couverture&Stable&CDI,5.6
200070233,plomberie-chauffage-couverture&Stable&Apprentis,1.5
200070233,plomberie-chauffage-couverture&Stable&Intérimaires,0
200070233,menuiserie-charpente&A la hausse&CDD,2.5
200070233,menuiserie-charpente&A la hausse&CDI,5.16666666666667
200070233,menuiserie-charpente&A la hausse&Apprentis,2
200070233,menuiserie-charpente&A la hausse&Intérimaires,0
200070233,menuiserie-charpente&Stable&CDD,1.5
200070233,menuiserie-charpente&Stable&CDI,5.85714285714286
200070233,menuiserie-charpente&Stable&Apprentis,1.4
200070233,menuiserie-charpente&Stable&Intérimaires,1
200070233,maçonnerie-carrelage&A la hausse&CDD,1.5
200070233,maçonnerie-carrelage&A la hausse&CDI,4.66666666666667
200070233,maçonnerie-carrelage&A la hausse&Apprentis,1.33333333333333
200070233,maçonnerie-carrelage&A la hausse&Intérimaires,0
200070233,maçonnerie-carrelage&Stable&CDD,1
200070233,maçonnerie-carrelage&Stable&CDI,4.2
200070233,maçonnerie-carrelage&Stable&Apprentis,1
200070233,maçonnerie-carrelage&Stable&Intérimaires,0
200070233,Peinture&A la hausse&CDD,0
200070233,Peinture&A la hausse&CDI,3
200070233,Peinture&A la hausse&Apprentis,1.5
200070233,Peinture&A la hausse&Intérimaires,0
200070233,Peinture&Stable&CDD,0
200070233,Peinture&Stable&CDI,4.3
200070233,Peinture&Stable&Apprentis,1.4
200070233,Peinture&Stable&Intérimaires,1.5
200070233,Electricité&A la hausse&CDD,0
200070233,Electricité&A la hausse&CDI,2.5
200070233,Electricité&A la hausse&Apprentis,2
200070233,Electricité&A la hausse&Intérimaires,0
200070233,Electricité&Stable&CDD,0
200070233,Electricité&Stable&CDI,2.33333333333333
200070233,Electricité&Stable&Apprentis,2
200070233,Electricité&Stable&Intérimaires,0
200070233,plâtrerie-isolation&A la hausse&CDD,2
200070233,plâtrerie-isolation&A la hausse&CDI,3
200070233,plâtrerie-isolation&A la hausse&Apprentis,0
200070233,plâtrerie-isolation&A la hausse&Intérimaires,0
200070233,plâtrerie-isolation&Stable&CDD,1
200070233,plâtrerie-isolation&Stable&CDI,1.5
200070233,plâtrerie-isolation&Stable&Apprentis,1
200070233,plâtrerie-isolation&Stable&Intérimaires,0
248500258,plomberie-chauffage-couverture&A la hausse&CDD,0
248500258,plomberie-chauffage-couverture&A la hausse&CDI,5
248500258,plomberie-chauffage-couverture&A la hausse&Apprentis,1.5
248500258,plomberie-chauffage-couverture&A la hausse&Intérimaires,0
248500258,plomberie-chauffage-couverture&Stable&CDD,1.33333333333333
248500258,plomberie-chauffage-couverture&Stable&CDI,3.68421052631579
248500258,plomberie-chauffage-couverture&Stable&Apprentis,1.16666666666667
248500258,plomberie-chauffage-couverture&Stable&Intérimaires,1
248500258,menuiserie-charpente&A la hausse&CDD,1
248500258,menuiserie-charpente&A la hausse&CDI,3.54545454545455
248500258,menuiserie-charpente&A la hausse&Apprentis,1
248500258,menuiserie-charpente&A la hausse&Intérimaires,1
248500258,menuiserie-charpente&Stable&CDD,1
248500258,menuiserie-charpente&Stable&CDI,3.61111111111111
248500258,menuiserie-charpente&Stable&Apprentis,1
248500258,menuiserie-charpente&Stable&Intérimaires,0
248500258,maçonnerie-carrelage&A la hausse&CDD,1
248500258,maçonnerie-carrelage&A la hausse&CDI,5.25
248500258,maçonnerie-carrelage&A la hausse&Apprentis,1
248500258,maçonnerie-carrelage&A la hausse&Intérimaires,0
248500258,maçonnerie-carrelage&Stable&CDD,1.14285714285714
248500258,maçonnerie-carrelage&Stable&CDI,8.93333333333333
248500258,maçonnerie-carrelage&Stable&Apprentis,2.33333333333333
248500258,maçonnerie-carrelage&Stable&Intérimaires,1.33333333333333
248500258,Peinture&A la hausse&CDD,1.33333333333333
248500258,Peinture&A la hausse&CDI,2
248500258,Peinture&A la hausse&Apprentis,1.66666666666667
248500258,Peinture&A la hausse&Intérimaires,1
248500258,Peinture&Stable&CDD,1
248500258,Peinture&Stable&CDI,2.16666666666667
248500258,Peinture&Stable&Apprentis,1
248500258,Peinture&Stable&Intérimaires,0
248500258,Electricité&A la hausse&CDD,3
248500258,Electricité&A la hausse&CDI,2.33333333333333
248500258,Electricité&A la hausse&Apprentis,2
