Nom;Pays;Date_debut;Date_fin;Ville;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
16;Etats-Unis;NA;false;NA;1;0;0;0;0;Terrorizer tent;0;0;0;0;0;0;0
1349;Norvège;1997;false;Oslo;3;0;Discover stage;0;0;0;Rock Hard tent;0;0;Temple;0;0;0
3 Doors Down;Etats-Unis;1996;false;Escatawpa;1;0;0;0;0;0;0;0;Main 01;0;0;0;0
36 Crazyfists;Etats-Unis;1994-12;false;NA;1;Main;0;0;0;Terrorizer tent;0;0;0;0;0;0;0
69 Chambers;Suisse;2001;false;Zurich;1;0;0;0;0;Main 01;0;0;0;0;0;0;0
7 Weeks;France;2006-04;false;Limoges;1;0;0;0;0;0;0;0;Valley;0;0;0;0
7th Nemesis;France;2000-12;false;NA;1;0;Discover stage;0;0;0;0;0;0;0;0;0;0
A Day to Remember;Etats-Unis;2003-06;false;Ocala;3;0;0;0;0;0;0;0;Main 02;0;Main 01;0;Main 01
Abbath;Norvège;2015;false;NA;1;0;0;0;0;0;0;0;0;0;0;Temple;0
Aborted;Belgique;NA;NA;NA;3;0;Gibson stage;0;Rock Hard tent;0;0;Altar;0;0;0;0;0
Absu;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;0;0;Temple;0;0;0;0
Absurdity;France;2001;false;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
Abysse;France;NA;false;NA;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Accept;Allemagne;NA;NA;NA;1;0;0;0;0;0;0;0;Main 01;0;0;0;0
Ace Frehley;Etats-Unis;18745;false;The Bronx;1;0;0;0;0;0;0;0;0;0;Main 01;0;0
Acid King;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;Valley;0;0;0;0;0
Adagio;France;NA;NA;NA;1;0;0;0;Main 01;0;0;0;0;0;0;0;0
ADX;France;1982;false;NA;1;0;0;0;Main 02;0;0;0;0;0;0;0;0
Aerosmith;Etats-Unis;1970;false;Boston;2;0;0;0;0;0;0;0;0;Main 01;0;0;Main 01
After Forever;Pays-Bas;1995;true;Limburg;1;0;Main;0;0;0;0;0;0;0;0;0;0
Against Me!;Etats-Unis;NA;NA;NA;1;0;0;0;0;0;0;0;0;Warzone;0;0;0
Agnostic Front;Etats-Unis;1981;false;New York;3;Hard n'Heavy stage;0;0;0;Terrorizer tent;0;0;Warzone;0;0;0;Warzone
Agoraphobic Nosebleed;Etats-Unis;1994;false;Springfield;1;0;0;0;0;0;0;0;0;0;0;Altar;0
Agressor;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Altar;0
Ahab;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Valley;0;0
Airbourne;Australie;2004;false;Warrnambool;4;0;0;Main;0;Main 01;0;0;0;0;Main 01;0;Main 01
Akercocke;Angleterre;1997;false;London;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Alcest;France;2001;false;NA;2;0;0;0;0;0;0;Valley;0;0;0;0;Temple
Alchemist;Australie;2008;false;NA;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Alea Jacta Est;France;2006;false;NA;1;0;0;0;0;0;0;0;0;0;0;Warzone;0
Alestorm;Ecosse;NA;NA;NA;2;0;0;0;0;0;0;0;0;0;Temple;0;Temple
Alice Cooper;Etats-Unis;1964;true;Phoenix;2;0;0;0;0;Main 01;0;0;0;0;Main 01;0;0
Alice in Chains;Etats-Unis;1987;false;Seattle;1;Main;0;0;0;0;0;0;0;0;0;0;0
All for Nothing;Pays-Bas;2001;false;Rotterdam;1;0;0;0;0;0;0;Warzone;0;0;0;0;0
All Pigs Must Die;Etats-Unis;2010;false;Boston;1;0;0;0;0;0;0;0;0;0;0;Warzone;0
All Shall Perish;Etats-Unis;2002;false;NA;2;0;0;0;Terrorizer tent;0;0;Main 02;0;0;0;0;0
Allegiance;Etats-Unis;NA;NA;NA;1;Hard n'Heavy stage;0;0;0;0;0;0;0;0;0;0;0
Alpha Tiger;Allemagne;NA;false;NA;1;0;0;0;0;0;0;Main 01;0;0;0;0;0
Alter Bridge;Etats-Unis;2004;false;Orlando;3;0;0;0;0;0;Main 01;0;0;Main 01;0;0;Main 01
Amebix;Angleterre;1978;true;NA;1;0;0;0;Main 02;0;0;0;0;0;0;0;0
Amenra;Belgique;2003;false;Kortrijk;1;Hard n'Heavy stage;0;0;0;0;0;Valley;0;0;0;0;0
Amon Amarth;Suède;1992;false;Tumba;4;0;Main;0;Rock Hard tent;0;0;Temple;0;0;0;Main 02;0
Amorphis;Finlande;1990;false;Helsinki;1;0;0;0;0;0;0;0;Altar;0;0;0;0
Anaal Nathrakh;Angleterre;1999;false;NA;2;0;0;Discover stage;0;0;0;Temple;0;0;0;0;0
Anathema;Angleterre;NA;NA;NA;2;0;0;Second stage;0;0;Main 02;0;0;0;0;0;0
Angel Witch;Angleterre;1977;false;London;1;0;0;0;0;0;Main 01;0;0;0;0;0;0
Angelus Apatrida;Espagne;2000-03;false;NA;1;0;0;0;0;0;0;0;0;Main 02;0;0;0
Angra;Brésil;1991;false;NA;1;0;0;0;0;0;0;0;0;Main 02;0;0;0
Angry Days;France;NA;NA;NA;1;0;0;0;0;0;0;0;0;0;0;Metal Corner;0
Animals as Leaders;Etats-Unis;2007;false;Washington;1;0;0;0;0;0;0;0;0;0;0;0;Main 01
Animosity;Etats-Unis;NA;NA;NA;1;0;Main;0;0;0;0;0;0;0;0;0;0
Annihilator;Canada;NA;false;NA;2;0;0;0;0;Main 02;0;0;0;Main 02;0;0;0
Antharès;France;1984;false;NA;1;0;0;0;0;0;0;0;0;Metal Corner;0;0;0
Anthrax;Etats-Unis;NA;NA;NA;2;0;0;0;Main 02;0;0;0;0;0;0;Main 01;0
Anti-Flag;Etats-Unis;1988;false;Pittsburgh;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Anvil;Canada;1978;false;Toronto;1;0;0;0;0;Main 02;0;0;0;0;0;0;0
Aosoth;France;2002;true;Paris;1;0;0;0;0;0;0;Temple;0;0;0;0;0
Apocalyptica;Finlande;1993;false;Helsinki;3;Main;0;Main;0;0;Main 01;0;0;0;0;0;Main 02
Arcania;France;1999;false;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
Arch Enemy;Suède;1996;false;Halmstad;2;Hard n'Heavy stage;0;0;0;Main 02;0;0;0;0;Altar;0;0
Archgoat;Finlande;1989;false;NA;1;0;0;0;0;0;0;0;0;0;0;Temple;0
Architects;Angleterre;NA;NA;NA;1;0;0;0;0;0;Main 01;0;0;0;0;0;0
Arcturus;Norvège;NA;NA;NA;1;0;0;0;0;0;0;Temple;0;0;0;0;0
Argile;France;1997;false;NA;1;0;0;0;0;0;0;0;0;0;Temple;0;0
Arkhon Infaustus;France;1997;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Temple
Arkona;Russie;NA;NA;NA;2;0;0;0;0;0;Rock Hard tent;0;0;0;Temple;0;0
Arma Gathas;Suisse;2006;false;NA;1;0;0;0;0;0;Terrorizer tent;0;0;0;0;0;0
Armored Saint;Etats-Unis;1982;false;Los Angeles;1;0;0;0;0;0;0;0;0;0;Main 01;0;0
Arson Anthem;Etats-Unis;2006;false;NA;1;0;0;0;0;0;0;Warzone;0;0;0;0;0
Arthemis;Italie;1994;false;NA;1;0;0;0;0;0;0;0;0;0;0;Main 02;0
As I Lay Dying;Etats-Unis;NA;NA;NA;1;Main;0;0;0;Terrorizer tent;0;0;0;0;0;0;0
As It Comes;France;2008;true;NA;1;0;0;0;0;0;0;Metal Corner;0;0;0;0;0
As They Burn;France;39296;true;Paris;1;0;0;0;0;0;0;Warzone;0;0;0;0;0
Ascension;Allemagne;NA;NA;NA;1;0;0;0;0;0;0;Temple;0;0;0;0;0
ASG;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;Valley;0;0
Asking Alexandria;Angleterre;2007;false;York;1;0;0;0;0;0;0;0;Main 02;0;0;0;0
Asphyx;Pays-Bas;NA;NA;NA;2;0;0;0;0;Rock Hard tent;0;0;0;0;0;Altar;0
At the Gates;Suède;1990;false;Gothenburg;3;0;0;Second stage;0;0;0;0;Altar;0;Altar;0;0
Atari Teenage Riot;Allemagne;1992-01;false;Berlin;1;0;0;0;0;0;0;0;Warzone;0;0;0;0
Atheist;Etats-Unis;1987;false;NA;2;0;Main;0;0;0;Main 02;0;0;0;0;0;0
Atreyu;Etats-Unis;1998;false;Orange County;1;0;0;0;0;0;0;0;0;0;0;Main 02;0
Attentat Rock;France;1980;false;Avignon;1;0;0;0;0;0;0;0;Main 01;0;0;0;0
Audrey Horne;Norvège;NA;false;NA;3;0;0;0;0;0;Main 02;0;Main 01;0;0;Main 02;0
August Burns Red;Etats-Unis;2003-03;false;NA;3;0;0;0;Terrorizer tent;0;0;Main 02;0;0;0;Main 02;0
Aura Noir;Norvège;1993;false;NA;3;0;0;0;Rock Hard tent;0;0;0;Temple;0;0;Temple;0
Autopsy;Etats-Unis;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Altar
Ava Inferi;Portugal;2005;true;NA;1;0;0;Discover stage;0;0;0;0;0;0;0;0;0
Avantasia;Allemagne;2000;false;NA;1;0;0;0;0;0;0;0;Main 02;0;0;0;0
Avatar;Suède;NA;false;NA;1;0;0;0;0;0;0;0;0;0;0;0;Main 01
