Année;Nom;"Nb
Groupes";NbDJ
2006;Main;36;0
2006;Hard n'Heavy stage;36;0
2007;Main;27;0
2007;Gibson stage;27;0
2007;Discover stage;30;0
2008;Main;24;0
2008;Second stage;21;0
2008;Discover stage;42;0
2009;Main 01;27;0
2009;Main 02;27;0
2009;Rock Hard tent;27;0
2009;Terrorizer tent;27;0
2010;Main 01;24;0
2010;Main 02;26;0
2010;Rock Hard tent;26;0
2010;Terrorizer tent;37;0
2011;Main 01;24;0
2011;Main 02;28;0
2011;Rock Hard tent;27;0
2011;Terrorizer tent;39;0
2012;Main 01;24;0
2012;Main 02;26;0
2012;Altar;27;0
2012;Temple;26;0
2012;Valley;27;0
2012;Warzone;27;0
2012;Metal Corner;8;5
2013;Main 01;24;0
2013;Main 02;27;0
2013;Altar;27;0
2013;Temple;27;0
2013;Valley;27;0
2013;Warzone;27;0
2013;Metal Corner;8;3
2014;Main 01;24;0
2014;Main 02;27;0
2014;Altar;27;0
2014;Temple;27;0
2014;Valley;27;0
2014;Warzone;27;0
2014;Metal Corner;8;3
2015;Main 01;24;0
2015;Main 02;24;0
2015;Altar;27;0
2015;Temple;27;0
2015;Valley;27;0
2015;Warzone;26;0
2015;Metal Corner;8;3
2016;Main 01;24;0
2016;Main 02;24;0
2016;Altar;27;0
2016;Temple;27;0
2016;Valley;27;0
2016;Warzone;27;0
2016;Metal Corner;17;3
2017;Main 01;24;0
2017;Main 02;24;0
2017;Altar;27;0
2017;Temple;27;0
2017;Valley;27;0
2017;Warzone;27;0
2017;Metal Corner;8;3
