"Nom";"Pays";"Date_debut";"Date_fin";"Ville";"Nombre"
"16";"Etats-Unis";NA;"false";NA;1
"1349";"Norvège";"1997";"false";"Oslo";3
"3 Doors Down";"Etats-Unis";"1996";"false";"Escatawpa";1
"36 Crazyfists";"Etats-Unis";"1994-12";"false";NA;1
"69 Chambers";"Suisse";"2001";"false";"Zurich";1
"7 Weeks";"France";"2006-04";"false";"Limoges";1
"7th Nemesis";"France";"2000-12";"false";NA;1
"A Day to Remember";"Etats-Unis";"2003-06";"false";"Ocala";3
"Abbath";"Norvège";"2015";"false";NA;1
"Aborted";"Belgique";NA;NA;NA;3
"Absu";"Etats-Unis";NA;NA;NA;1
"Absurdity";"France";"2001";"false";NA;1
"Abysse";"France";NA;"false";NA;1
"Accept";"Allemagne";NA;NA;NA;1
"Ace Frehley";"Etats-Unis";"18745";"false";"The Bronx";1
"Acid King";"Etats-Unis";NA;"false";NA;1
"Adagio";"France";NA;NA;NA;1
"ADX";"France";"1982";"false";NA;1
"Aerosmith";"Etats-Unis";"1970";"false";"Boston";2
"After Forever";"Pays-Bas";"1995";"true";"Limburg";1
"Against Me!";"Etats-Unis";NA;NA;NA;1
"Agnostic Front";"Etats-Unis";"1981";"false";"New York";3
"Agoraphobic Nosebleed";"Etats-Unis";"1994";"false";"Springfield";1
"Agressor";"France";NA;NA;NA;1
"Ahab";"Etats-Unis";NA;"false";NA;1
"Airbourne";"Australie";"2004";"false";"Warrnambool";4
"Akercocke";"Angleterre";"1997";"false";"London";1
"Alcest";"France";"2001";"false";NA;2
"Alchemist";"Australie";"2008";"false";NA;1
"Alea Jacta Est";"France";"2006";"false";NA;1
"Alestorm";"Ecosse";NA;NA;NA;2
"Alice Cooper";"Etats-Unis";"1964";"true";"Phoenix";2
"Alice in Chains";"Etats-Unis";"1987";"false";"Seattle";1
"All for Nothing";"Pays-Bas";"2001";"false";"Rotterdam";1
"All Pigs Must Die";"Etats-Unis";"2010";"false";"Boston";1
"All Shall Perish";"Etats-Unis";"2002";"false";NA;2
"Allegiance";"Etats-Unis";NA;NA;NA;1
"Alpha Tiger";"Allemagne";NA;"false";NA;1
"Alter Bridge";"Etats-Unis";"2004";"false";"Orlando";3
"Amebix";"Angleterre";"1978";"true";NA;1
"Amenra";"Belgique";"2003";"false";"Kortrijk";1
"Amon Amarth";"Suède";"1992";"false";"Tumba";4
"Amorphis";"Finlande";"1990";"false";"Helsinki";1
"Anaal Nathrakh";"Angleterre";"1999";"false";NA;2
"Anathema";"Angleterre";NA;NA;NA;2
"Angel Witch";"Angleterre";"1977";"false";"London";1
"Angelus Apatrida";"Espagne";"2000-03";"false";NA;1
"Angra";"Brésil";"1991";"false";NA;1
"Angry Days";"France";NA;NA;NA;1
"Animals as Leaders";"Etats-Unis";"2007";"false";"Washington";1
"Animosity";"Etats-Unis";NA;NA;NA;1
