date;scene;type;groupe
2006;Main;Grande scène;36 Crazyfists
2006;Hard n'Heavy stage;Moyenne scène;Agnostic Front
2006;Hard n'Heavy stage;Moyenne scène;Akercocke
2006;Main;Grande scène;Alice in Chains
2006;Hard n'Heavy stage;Moyenne scène;Allegiance
2006;Hard n'Heavy stage;Moyenne scène;Amenra
2006;Main;Grande scène;Apocalyptica
2006;Hard n'Heavy stage;Moyenne scène;Arch Enemy
2006;Main;Grande scène;As I Lay Dying
2006;Main;Grande scène;Avenged Sevenfold
2006;Main;Grande scène;Bloodsimple
2006;Hard n'Heavy stage;Moyenne scène;Born From Pain
2006;Hard n'Heavy stage;Moyenne scène;Boysetsfire
2006;Hard n'Heavy stage;Moyenne scène;Capricorns
2006;Main;Grande scène;Carnival in Coal
2006;Hard n'Heavy stage;Moyenne scène;Celtic Frost
2006;Hard n'Heavy stage;Moyenne scène;Cephalic Carnage
2006;Hard n'Heavy stage;Moyenne scène;Cortez
2006;Main;Grande scène;Cradle of Filth
2006;Hard n'Heavy stage;Moyenne scène;Dagoba
2006;Hard n'Heavy stage;Moyenne scène;Damnation A.D.
2006;Main;Grande scène;Danko Jones
2006;Main;Grande scène;Darkest Hour
2006;Main;Grande scène;Dead Kennedys
2006;Main;Grande scène;Dead to Fall
2006;Hard n'Heavy stage;Moyenne scène;Demented Are Go!
2006;Hard n'Heavy stage;Moyenne scène;DevilDriver
2006;Main;Grande scène;Drowning
2006;Hard n'Heavy stage;Moyenne scène;Endstand
2006;Main;Grande scène;Entombed
2006;Main;Grande scène;Gadget
2006;Main;Grande scène;GBH
2006;Hard n'Heavy stage;Moyenne scène;Go It Alone
2006;Main;Grande scène;Gojira
2006;Hard n'Heavy stage;Moyenne scène;Guns Up
2006;Hard n'Heavy stage;Moyenne scène;Happyface
2006;Main;Grande scène;Hatesphere
2006;Hard n'Heavy stage;Moyenne scène;Hellmotel
2006;Main;Grande scène;Helloween
2006;Hard n'Heavy stage;Moyenne scène;Ignite
2006;Main;Grande scène;Knuckledust
2006;Hard n'Heavy stage;Moyenne scène;Knut
2006;Hard n'Heavy stage;Moyenne scène;Leeway
2006;Main;Grande scène;Locus
2006;Main;Grande scène;Mad Sin
2006;Main;Grande scène;Madball
2006;Hard n'Heavy stage;Moyenne scène;Most Precious Blood
2006;Main;Grande scène;Motörhead
2006;Hard n'Heavy stage;Moyenne scène;MurDuM
2006;Main;Grande scène;Nightmare
2006;Hard n'Heavy stage;Moyenne scène;Nile
2006;Main;Grande scène;Obituary
2006;Hard n'Heavy stage;Moyenne scène;Opeth
2006;Main;Grande scène;Orphaned Land
2006;Hard n'Heavy stage;Moyenne scène;Panik
2006;Main;Grande scène;Prostitute Disfigurement
2006;Main;Grande scène;Raised Fist
2006;Hard n'Heavy stage;Moyenne scène;Ringworm
2006;Hard n'Heavy stage;Moyenne scène;Rise And Fall
2006;Main;Grande scène;Satyricon
2006;Main;Grande scène;Saxon
2006;Hard n'Heavy stage;Moyenne scène;Sna-fu *aka* Grand Désordre Orchestre
2006;Hard n'Heavy stage;Moyenne scène;Sonny Red
2006;Main;Grande scène;Soulfly
2006;Main;Grande scène;Stone Sour
2006;Hard n'Heavy stage;Moyenne scène;Taint
2006;Main;Grande scène;Textures
2006;Hard n'Heavy stage;Moyenne scène;The Black Dahlia Murder
2006;Hard n'Heavy stage;Moyenne scène;The Haunted
2006;Hard n'Heavy stage;Moyenne scène;The Outburst
2006;Main;Grande scène;Trepalium
2006;Main;Grande scène;Trivium
2006;Hard n'Heavy stage;Moyenne scène;With Honor
2006;Hard n'Heavy stage;Moyenne scène;Zyklon
2007;Discover stage;Petite scène;1349
2007;Discover stage;Petite scène;7th Nemesis
2007;Gibson stage;Moyenne scène;Aborted
2007;Main;Grande scène;After Forever
2007;Main;Grande scène;Amon Amarth
2007;Main;Grande scène;Animosity
2007;Main;Grande scène;Atheist
2007;Gibson stage;Moyenne scène;Behemoth
2007;Gibson stage;Moyenne scène;Blind Guardian
2007;Main;Grande scène;Bloodsimple
2007;Main;Grande scène;Brujeria
2007;Gibson stage;Moyenne scène;Brutal Truth
2007;Gibson stage;Moyenne scène;Cannibal Corpse
2007;Main;Grande scène;Children of Bodom
2007;Main;Grande scène;Chimaira
2007;Discover stage;Petite scène;Coldworker
2007;Gibson stage;Moyenne scène;Converge
2007;Gibson stage;Moyenne scène;Cynic
2007;Main;Grande scène;Dark Tranquility
2007;Discover stage;Petite scène;dEFDUMp
2007;Discover stage;Petite scène;Destinity
2007;Main;Grande scène;Dew-Scented
2007;Discover stage;Petite scène;Dornfall
2007;Main;Grande scène;Dream Theater
2007;Discover stage;Petite scène;Dylath-Leen
2007;Gibson stage;Moyenne scène;Earth Crisis
2007;Gibson stage;Moyenne scène;Edguy
2007;Discover stage;Petite scène;Ellispsis
2007;Main;Grande scène;Emperor
2007;Gibson stage;Moyenne scène;Enslaved
2007;Gibson stage;Moyenne scène;Ephel Duath
2007;Main;Grande scène;Epica
2007;Discover stage;Petite scène;Eryn Non Dae
2007;Discover stage;Petite scène;Fubar
2007;Discover stage;Petite scène;Furia
2007;Discover stage;Petite scène;Gutworm
2007;Discover stage;Petite scène;Hacride
2007;Main;Grande scène;Hatebreed
2007;Main;Grande scène;Heavenly
2007;Discover stage;Petite scène;Homestell
2007;Main;Grande scène;Immortal
2007;Discover stage;Petite scène;Imply in All
2007;Discover stage;Petite scène;Impureza
2007;Discover stage;Petite scène;Interlock
2007;Discover stage;Petite scène;Kaisen
2007;Gibson stage;Moyenne scène;Kickback
2007;Discover stage;Petite scène;Klone
2007;Gibson stage;Moyenne scène;Korpiklaani
2007;Main;Grande scène;Kreator
2007;Gibson stage;Moyenne scène;Lyzanxia
2007;Main;Grande scène;Machine Head
2007;Gibson stage;Moyenne scène;Manigance
2007;Main;Grande scène;Mastodon
2007;Main;Grande scène;Megadeth
2007;Gibson stage;Moyenne scène;Misery Index
2007;Discover stage;Petite scène;Mistaken Element
2007;Discover stage;Petite scène;Moho
2007;Gibson stage;Moyenne scène;Moonspell
2007;Gibson stage;Moyenne scène;Mumakil
2007;Gibson stage;Moyenne scène;Napalm Death
2007;Gibson stage;Moyenne scène;Neurosis
2007;Discover stage;Petite scène;Orthodox
2007;Main;Grande scène;Pain of Salvation
2007;Discover stage;Petite scène;Primal Age
2007;Gibson stage;Moyenne scène;Salem
2007;Gibson stage;Moyenne scène;Scarve
2007;Gibson stage;Moyenne scène;Secrets of the Moon
2007;Main;Grande scène;Slayer
2007;Discover stage;Petite scène;Slit
2007;Discover stage;Petite scène;Sworn Enemy
2007;Gibson stage;Moyenne scène;The ARRS
2007;Discover stage;Petite scène;The Set-Up
2007;Gibson stage;Moyenne scène;Therion
2007;Discover stage;Petite scène;Tromatized Youth
2007;Main;Grande scène;Type O Negative
2007;Discover stage;Petite scène;Ufych Sormeer
2007;Gibson stage;Moyenne scène;Unearth
2007;Main;Grande scène;Vader
2007;Gibson stage;Moyenne scène;Walls of Jericho
2007;Main;Grande scène;Within Temptation
2007;Discover stage;Petite scène;Zero Mentality
2007;Discover stage;Petite scène;Zubrowska
2008;Main;Grande scène;Airbourne
2008;Discover stage;Petite scène;Alchemist
2008;Discover stage;Petite scène;Anaal Nathrakh
2008;Second stage;Moyenne scène;Anathema
2008;Main;Grande scène;Apocalyptica
2008;Second stage;Moyenne scène;At the Gates
2008;Discover stage;Petite scène;Ava Inferi
2008;Discover stage;Petite scène;Baroness
2008;Discover stage;Petite scène;Belphegor
2008;Discover stage;Petite scène;Benighted
2008;Discover stage;Petite scène;Between the Buried and Me
2008;Discover stage;Petite scène;Black Tide
2008;Discover stage;Petite scène;Blazing War Machine
2008;Discover stage;Petite scène;Bleeding Through
2008;Second stage;Moyenne scène;Born From Pain
2008;Second stage;Moyenne scène;Candlemass
2008;Second stage;Moyenne scène;Carcass
2008;Main;Grande scène;Cavalera Conspiracy
2008;Discover stage;Petite scène;Comeback Kid
2008;Discover stage;Petite scène;Cult of Luna
2008;Main;Grande scène;Danko Jones
2008;Second stage;Moyenne scène;Death Angel
2008;Second stage;Moyenne scène;Dillinger Escape Plan
2008;Main;Grande scène;Dimmu Borgir
2008;Discover stage;Petite scène;Disfear
2008;Discover stage;Petite scène;Dying Fetus
2008;Main;Grande scène;Eluveitie
2008;Discover stage;Petite scène;Envy
2008;Main;Grande scène;Eths
2008;Discover stage;Petite scène;Evile
2008;Second stage;Moyenne scène;Forbidden
2008;Second stage;Moyenne scène;Gamma Ray
2008;Discover stage;Petite scène;Ghost Brigade
2008;Discover stage;Petite scène;Haemorrhage
2008;Main;Grande scène;Helloween
2008;Main;Grande scène;Iced Earth
2008;Discover stage;Petite scène;Impaled Nazarene
2008;Main;Grande scène;In Flames
2008;Discover stage;Petite scène;Job for a Cowboy
2008;Second stage;Moyenne scène;Katatonia
2008;Discover stage;Petite scène;Krisiun
2008;Discover stage;Petite scène;Kruger
2008;Second stage;Moyenne scène;Legion of the Damned
2008;Second stage;Moyenne scène;Madball
